,reaction,name,notes,annotation,gpr,subunit_mw,subunit_num,reaction_mw_not_condider_subunit,reaction_mw_condider_subunit,smoment_no_adj_kcat,smoment_adj_kcat,kcat_in_vitro,kapp,kcat_zhaoxin,kcat_GO,kcat_ec_model,kcat_GO_change_type,kcat_zhao_change_type,model_ori_fluxes,ECMpy_fluxes,model_gecko_no_adj_fluxes,model_gecko_adj_fluxes,model_gecko_no_adj_subunit_fluxes,model_gecko_adj_subunit_fluxes,model_smoment_no_adj_fluxes,model_smoment_adj_fluxes,model_smoment_no_adj_subunit_fluxes,model_smoment_adj_subunit_fluxes
IGPDH,eig3p_c --> h2o_c + imacp_c,Imidazoleglycerol-phosphate dehydratase,,"OrderedDict([('bigg.reaction', 'IGPDH'), ('biocyc', 'META:IMIDPHOSDEHYD-RXN'), ('ec-code', '4.2.1.19'), ('kegg.reaction', 'R03457'), ('metanetx.reaction', 'MNXR100813'), ('rhea', ['11040', '11041', '11042', '11043']), ('sbo', 'SBO:0000375')])",b2022,40.27796,2,40.278,80.5559,1000,500.8678974,29.58865007,3.8,29.58865006,29.58865006,3.8,,,0.083084962,0.067018247,0.077409349,0.083025107,0.035450404,0.055500843,0.083025111,0.083025111,0.035431899,0.055486219
HISTP,h2o_c + hisp_c --> histd_c + pi_c,Histidinol-phosphatase,,"OrderedDict([('bigg.reaction', 'HISTP'), ('biocyc', 'META:HISTIDPHOS-RXN'), ('ec-code', '3.1.3.15'), ('kegg.reaction', 'R03013'), ('metanetx.reaction', 'MNXR100642'), ('rhea', ['14465', '14466', '14467', '14468']), ('sbo', 'SBO:0000375')])",b2022,40.27796,2,40.278,80.5559,430.7552143,402.1539197,25.85104997,3.8,25.85104997,25.85104997,3.8,,,0.083084962,0.067018247,0.077409349,0.083025107,0.035450404,0.055500843,0.083025111,0.083025111,0.035431899,0.055486219
CLPNS161pp_reverse,clpn161_p + glyc_p --> 2.0 pg161_p,,"OrderedDict([('reflection', 'CLPNS161pp')])",,b1249 or b0789,54.82233 or 47.63351 ,1 or 1 ,47.6335,47.6335,,,7.960385639,3.792873317,7.960385639,7.960385639,3.792873317,,,0,0,0,0,0,0,0,0,0,0
3HAD40,3haACP_c --> but2eACP_c + h2o_c,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),,"OrderedDict([('bigg.reaction', '3HAD40'), ('ec-code', '4.2.1.58'), ('metanetx.reaction', 'MNXR94885'), ('sbo', 'SBO:0000375')])",b0954 or b0180,18.96905 or 17.03295 ,2 or 6 ,17.033,37.9381,,,14.44309745,3.784058214,14.44309745,14.44309745,3.784058214,,,0,0,0,0,0,0,0,0,0,0
UDPG4E,udpg_c --> udpgal_c,UDPglucose 4-epimerase,"OrderedDict([('reflection', 'UDPG4E_reverse')])","OrderedDict([('bigg.reaction', 'UDPG4E'), ('biocyc', 'META:UDPGLUCEPIM-RXN'), ('ec-code', '5.1.3.2'), ('kegg.reaction', 'R00291'), ('metanetx.reaction', 'MNXR105057'), ('rhea', ['22168', '22169', '22170', '22171']), ('sbo', 'SBO:0000375')])",b0759,37.26511,2,37.2651,74.5302,454.3641555,454.3641555,23.9,3.782725804,23.9,23.9,3.782725804,,,0,0,0,0,0,0,0,0,0,0
EAR60x,h_c + nadh_c + thex2eACP_c --> hexACP_c + nad_c,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0),,"OrderedDict([('bigg.reaction', 'EAR60x'), ('ec-code', '2.3.1.-'), ('metanetx.reaction', 'MNXR97865'), ('sbo', 'SBO:0000375')])",b1288,27.86394,4,27.8639,111.4558,,,20.59287944,3.766796888,20.59287944,20.59287944,3.766796888,,,0,0,0,0,0,0,0,0,0,0
ATHRDHr,athr__L_c + nadp_c --> 2aobut_c + h_c + nadph_c,L-allo-threonine dehydrogenase,"OrderedDict([('reflection', 'ATHRDHr_reverse')])","OrderedDict([('bigg.reaction', 'ATHRDHr'), ('biocyc', 'META:RXN-16000'), ('ec-code', '1.1.1.381'), ('kegg.reaction', 'R10851'), ('metanetx.reaction', 'MNXR96121'), ('rhea', ['30055', '30056', '30057', '30058']), ('sbo', 'SBO:0000375')])",b1539,27.24893,4,27.2489,108.9957,12.302,12.302,17.94527019,3.752698859,17.94527019,17.94527019,3.752698859,,,0,0,0,0,0,0,0,0,0,0
DAGK181,12dgr181_c + atp_c --> adp_c + h_c + pa181_c,Diacylglycerol kinase (n-C18:1),,"OrderedDict([('bigg.reaction', 'DAGK181'), ('metanetx.reaction', 'MNXR97100'), ('sbo', 'SBO:0000375')])",b4042,13.24468,3,13.2447,39.734,,,20.75107915,3.723962587,20.75107915,20.75107915,3.723962587,,,0,0,0,0,0,0,0,0,6.56E-16,0
DADK_reverse,adp_c + dadp_c --> atp_c + damp_c,,"OrderedDict([('reflection', 'DADK')])",,b0474,23.58602,1,23.586,23.586,32.5761,29.69059639,12.67441592,3.706604747,12.67441592,12.67441592,3.706604747,,,0,0,0,0,0,0,0,0,0,0
EAR100x,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0),,"OrderedDict([('bigg.reaction', 'EAR100x'), ('ec-code', '2.3.1.-'), ('metanetx.reaction', 'MNXR97845'), ('sbo', 'SBO:0000375')])",b1288,27.86394,4,27.8639,111.4558,,,27.97878898,3.701355331,27.97878897,27.97878897,3.701355331,,,0,0,0,0,0,0,0,0,0,0
SELR,mql8_c + sel_c --> h2o_c + mqn8_c + slnt_c,Selenate reductase,,"OrderedDict([('bigg.reaction', 'SELR'), ('metanetx.reaction', 'MNXR104323'), ('rhea', ['34939', '34940', '34941', '34942']), ('sbo', 'SBO:0000375')])",b1588 and b1589 and b1590 and b1587,89.98705 and 22.75175 and 30.52367 and 89.78001 ,1 and 1 and 1 and 1 ,233.0425,233.0425,,,13.73443278,3.687089923,13.73443278,13.73443278,3.687089923,,,0,0,0,0,0,0,0,0,0,0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,DUTP diphosphatase,,"OrderedDict([('bigg.reaction', 'DUTPDP'), ('biocyc', 'META:DUTP-PYROP-RXN'), ('ec-code', ['3.6.1.-', '3.6.1.23', '3.6.1.9']), ('kegg.reaction', 'R02100'), ('metanetx.reaction', 'MNXR97822'), ('rhea', ['10248', '10249', '10250', '10251']), ('sbo', 'SBO:0000375')])",b3640 or b2251,16.15547 or 16.37072 ,3 or 1 ,16.1555,16.3707,20.58,18.82293613,11,3.669991124,11,11,3.669991124,,,0.022947509,0.01850999,0.021379943,0.022930978,0,0,0.022930979,0.022930979,0.009786053,0.015324921
FOMETRi,5fthf_c + h_c --> h2o_c + methf_c,Aminomethyltransferase,,"OrderedDict([('bigg.reaction', 'FOMETRi'), ('ec-code', '2.1.2.10'), ('kegg.reaction', 'R02300'), ('metanetx.reaction', 'MNXR99614'), ('rhea', ['34767', '34768', '34769', '34770']), ('sbo', 'SBO:0000375')])",b2912,21.10543,1,21.1054,21.1054,15.39166667,15.39166667,11.71508076,3.667970802,11.71508076,11.71508076,3.667970802,,,0,0,0,0,0,0,0,0,0,0
3OAS181,h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1),,"OrderedDict([('bigg.reaction', '3OAS181'), ('ec-code', '2.3.1.179'), ('metanetx.reaction', 'MNXR94962'), ('sbo', 'SBO:0000375')])",b1095,43.04576,2,43.0458,86.0915,0.029,0.029,31.41198965,3.667821338,31.41198967,31.41198967,3.667821338,,,0,0,0,0,0,0,0,0,0,0
CYSDS,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c,Cysteine Desulfhydrase,,"OrderedDict([('bigg.reaction', 'CYSDS'), ('biocyc', 'META:LCYSDESULF-RXN'), ('ec-code', ['4.4.1.1', '4.4.1.28', '4.4.1.8']), ('kegg.reaction', 'R00782'), ('metanetx.reaction', 'MNXR96994'), ('rhea', ['24931', '24932', '24933', '24934']), ('sbo', 'SBO:0000375')])",b3008 or b3708,43.21238 or 52.77346 ,4 or 4 ,43.2124,172.8495,4.7261875,4.596490513,19.57912807,3.661771671,19.57912808,19.57912808,3.661771671,,,0,0,0,0,0,0,0,0,0,0
CYSSADS,3sala_c + 2.0 h_c --> ala__L_c + so2_c,L-cysteine sulfinic acid desulfurase,,"OrderedDict([('bigg.reaction', 'CYSSADS'), ('ec-code', ['4.1.1.12', '4.4.1.1']), ('kegg.reaction', 'R00863'), ('metanetx.reaction', 'MNXR97008'), ('sbo', 'SBO:0000375')])",b2810 or b1680,43.23418 or 44.43376 ,2 or 2 ,43.2342,86.4684,15.18714615,15.18714615,9.102443023,3.655409553,9.102443022,9.102443022,3.655409553,,,0,0,0,0,0,0,0,0,0,0
NADHXE_reverse,nadhx__R_c --> nadhx__S_c,,"OrderedDict([('reflection', 'NADHXE')])",,b4167,54.65,1,54.65,54.65,,,34.53523413,3.654495706,34.53523414,34.53523414,3.654495706,,,0,0,0,0,0,0,0,0,0,0
NDPK2_reverse,adp_c + utp_c --> atp_c + udp_c,,"OrderedDict([('reflection', 'NDPK2')])",,b0474 or b2518,23.58602 or 15.46344 ,1 or 4 ,15.4634,23.586,194.8532778,184.6379278,18.58278761,3.651016014,18.58278761,18.58278761,3.651016014,,,0,0,0,0,0,0,0,0,0,0
LPLIPAL2A181,2odec11eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ocdcea_c,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)",,"OrderedDict([('bigg.reaction', 'LPLIPAL2A181'), ('metanetx.reaction', 'MNXR101168'), ('sbo', 'SBO:0000375')])",b3825,38.97826,1,38.9783,38.9783,,,11.11341166,3.636607003,11.11341166,11.11341166,3.636607003,,,0,0,0,0,0,0,0,0,0,0
ADPRDP,adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,ADPribose diphosphatase,,"OrderedDict([('bigg.reaction', 'ADPRDP'), ('ec-code', '3.6.1.13'), ('metanetx.reaction', 'MNXR95480'), ('sbo', 'SBO:0000375')])",b3397 or b3034,21.15317 or 23.66681 ,2 or 2 ,21.1532,42.3063,19.60764706,19.60764706,117,3.619746579,117,117,3.619746579,,,0,0,0,0,0,0,0,0,0,0
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,Deoxyuridine kinase (ATP:Deoxyuridine),,"OrderedDict([('bigg.reaction', 'DURIK1'), ('biocyc', 'META:DURIDKI-RXN'), ('ec-code', ['2.7.1.145', '2.7.1.21']), ('kegg.reaction', 'R02099'), ('metanetx.reaction', 'MNXR97817'), ('rhea', ['28206', '28207', '28208', '28209']), ('sbo', 'SBO:0000375')])",b1238,23.45658,1,23.4566,23.4566,2.3655,2.3655,13.31541091,3.614503133,13.31541091,13.31541091,3.614503133,,,0,0,0,0,0,0,0,0,0,0
MEPCT,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,,"OrderedDict([('bigg.reaction', 'MEPCT'), ('biocyc', 'META:2.7.7.60-RXN'), ('ec-code', '2.7.7.60'), ('kegg.reaction', 'R05633'), ('metanetx.reaction', 'MNXR96807'), ('rhea', ['13429', '13430', '13431', '13432']), ('sbo', 'SBO:0000375')])",b2747,25.73726,2,25.7373,51.4745,25.11,25.11,25.9,3.6,25.9,25.9,3.6,,,0.002095146,0.001689993,0.001952025,0.002093637,0.00089395,0.00139956,0.002093637,0.002093637,0.000893483,0.001399191
KARA2,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c,Ketol-acid reductoisomerase (2-Acetolactate),"OrderedDict([('reflection', 'KARA2_reverse')])","OrderedDict([('bigg.reaction', 'KARA2'), ('biocyc', 'META:ACETOOHBUTREDUCTOISOM-RXN'), ('ec-code', '1.1.1.86'), ('metanetx.reaction', 'MNXR100902'), ('rhea', ['13493', '13494', '13495', '13496']), ('sbo', 'SBO:0000375')])",b3774,54.06902,4,54.069,216.2761,2.574619048,2.535802818,16.11290053,0.75,16.11290053,16.11290053,3.6,,,0.254793124,0.205522012,0.237387964,0.254609569,0.108714246,0.170202076,0.25460958,0.25460958,0.1086575,0.17015723
GLCS1,adpglc_c --> adp_c + glycogen_c + h_c,Glycogen synthase (ADPGlc),,"OrderedDict([('bigg.reaction', 'GLCS1'), ('ec-code', '2.4.1.21'), ('metanetx.reaction', 'MNXR100223'), ('sbo', 'SBO:0000375')])",b3429,52.82243,1,52.8224,52.8224,303.75,303.75,19.36022096,3.595301105,19.36022096,19.36022096,3.595301105,,,0,0,0,0,0,0,0,0,0,0
ACM6PH,acmum6p_c + h2o_c --> acgam6p_c + lac__D_c,N-acetylmuramate 6-phosphate hydrolase,,"OrderedDict([('bigg.reaction', 'ACM6PH'), ('ec-code', '4.2.1.126'), ('kegg.reaction', 'R08555'), ('metanetx.reaction', 'MNXR95273'), ('rhea', ['26410', '26411', '26412', '26413']), ('sbo', 'SBO:0000375')])",b2428,31.21992,2,31.2199,62.4398,5.7,5.7,5.7,3.586349103,5.7,5.7,3.586349103,,,0,0,0,0,0,0,0,0,0,0
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0),,"OrderedDict([('bigg.reaction', 'EAR180x'), ('ec-code', '1.3.1.9'), ('metanetx.reaction', 'MNXR97859'), ('sbo', 'SBO:0000375')])",b1288,27.86394,4,27.8639,111.4558,15.555278,14.66641222,14.41107281,3.578348705,14.41107281,14.41107281,3.578348705,,,0,0,0,0,0,0,0,0,0,0
O16AP2pp,o16a2und_p + o16aund_p --> h_p + o16a3und_p + udcpdp_p,O16 antigen polymerase (periplasm),,"OrderedDict([('bigg.reaction', 'O16AP2pp'), ('metanetx.reaction', 'MNXR102079'), ('sbo', 'SBO:0000375')])",b2027 and b2035,36.45474 and 44.74431 ,1 and 1 ,81.199,81.199,,,27.08997052,3.558658272,27.08997053,27.08997053,3.558658272,,,2.33E-31,0,0,0,0,0,0,0,0,0
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,Carbamoyl-phosphate synthase (glutamine-hydrolysing),,"OrderedDict([('bigg.reaction', 'CBPS'), ('biocyc', 'META:CARBPSYN-RXN'), ('ec-code', '6.3.5.5'), ('kegg.reaction', 'R00575'), ('metanetx.reaction', 'MNXR96485'), ('rhea', ['18633', '18634', '18635', '18636']), ('sbo', 'SBO:0000375')])",b0032 and b0033,41.43101 and 117.84172 ,2 and 2 ,159.2727,318.5455,400.8592308,372.8828769,4.79,3.545737452,4.79,4.79,3.545737452,,,0,0,0,0,0,0,0,0,0,0
PLIPA1A160pp,h2o_p + pa160_p --> 2hdecg3p_p + hdca_p,"Phospholipase A1 (phosphatidate, n-C16:0) (periplasm)",,"OrderedDict([('bigg.reaction', 'PLIPA1A160pp'), ('ec-code', '3.1.1.32'), ('metanetx.reaction', 'MNXR102970'), ('sbo', 'SBO:0000375')])",b3821,33.16313,2,33.1631,66.3263,1611.95,1611.95,34.6715093,3.540304502,34.67150931,34.67150931,3.540304502,,,0,0,0,0,0,0,0,0,0,0
NDPK4,atp_c + dtdp_c --> adp_c + dttp_c,Nucleoside-diphosphate kinase (ATP:dTDP),"OrderedDict([('reflection', 'NDPK4_reverse')])","OrderedDict([('bigg.reaction', 'NDPK4'), ('biocyc', 'META:DTDPKIN-RXN'), ('ec-code', '2.7.4.6'), ('kegg.reaction', 'R02093'), ('metanetx.reaction', 'MNXR101937'), ('rhea', ['27682', '27683', '27684', '27685']), ('sbo', 'SBO:0000375')])",b0474 or b2518,23.58602 or 15.46344 ,1 or 4 ,15.4634,23.586,194.8532778,184.6379278,11.90670976,3.538777581,11.90670976,11.90670976,3.538777581,,,0.022947509,0.01850999,0,0,0.009791164,0.01532896,0.022930979,0.022930979,0.009786053,0.015324921
EDTXS1,ddcaACP_c + kdo2lipid4_c --> ACP_c + kdo2lipid4L_c,Endotoxin Synthesis (lauroyl transferase),,"OrderedDict([('bigg.reaction', 'EDTXS1'), ('ec-code', '2.3.1.241'), ('metanetx.reaction', 'MNXR97899'), ('sbo', 'SBO:0000375')])",b1054,35.40682,1,35.4068,35.4068,131,131,15.46792419,3.525487913,15.46792419,15.46792419,3.525487913,,,-7.74E-31,0,0,0,0,0,0,0,6.56E-16,0
APH120,ddcap_c + h2o_c --> ddca_c + 2.0 h_c + pi_c,Acylphosphatase (C12:0),,"OrderedDict([('bigg.reaction', 'APH120'), ('metanetx.reaction', 'MNXR95876'), ('sbo', 'SBO:0000375')])",b0968,10.29976,1,10.2998,10.2998,,,11.76190342,3.503599973,11.76190342,11.76190342,3.503599973,,,0,0,0,0,0,0,0,0,0,0
PRASCSi,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,,"OrderedDict([('bigg.reaction', 'PRASCSi'), ('biocyc', 'META:SAICARSYN-RXN'), ('ec-code', '6.3.2.6'), ('metanetx.reaction', 'MNXR103158'), ('sbo', 'SBO:0000375')])",b2476,26.995,3,26.995,80.985,,,11.68156382,3.5,11.68156382,11.68156382,3.5,,,0.392714091,0.316772245,0.365887418,0.392431177,0.167561886,0.262333428,0.392431194,0.392431194,0.167474423,0.262264306
RNDR3,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,Ribonucleoside-diphosphate reductase (CDP),,"OrderedDict([('bigg.reaction', 'RNDR3'), ('biocyc', 'META:CDPREDUCT-RXN'), ('ec-code', '1.17.4.1'), ('kegg.reaction', 'R02024'), ('metanetx.reaction', 'MNXR104064'), ('sbo', 'SBO:0000375')])",( b3781 and b2235 and b2234 ) or ( b2582 and b2235 and b2234 ),( 11.80662 and 43.51727 and 85.77528 ) or ( 15.55477 and 43.51727 and 85.77528 ) ,( 1 and 2 and 2 ) or ( 1 and 2 and 2 ) ,141.0992,270.3917,2.831166667,2.831166667,13.70964434,3.490687441,13.70964434,13.70964434,3.490687441,,,0,0,0,0,0,0,0,0,0,0
LCARS,h_c + lald__L_c + nadh_c --> 12ppd__S_c + nad_c,"Lacaldehyde reductase (S-propane-1,2-diol forming)","OrderedDict([('reflection', 'LCARS_reverse')])","OrderedDict([('bigg.reaction', 'LCARS'), ('biocyc', 'META:LACTALDREDUCT-RXN'), ('ec-code', '1.1.1.77'), ('kegg.reaction', 'R02258'), ('metanetx.reaction', 'MNXR95714'), ('rhea', ['15933', '15934', '15935', '15936']), ('sbo', 'SBO:0000375')])",b2799,40.51337,2,40.5134,81.0267,,,14.8590437,3.479224118,14.8590437,14.8590437,3.479224118,,,0,0,0,0,0,0,0,0,0,0
TYROXDApp,h2o_p + o2_p + tym_p --> 4hoxpacd_p + h2o2_p + nh4_p,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (periplasm),,"OrderedDict([('bigg.reaction', 'TYROXDApp'), ('biocyc', 'META:RXN-5821'), ('ec-code', ['1.4.3.21', '1.4.3.4', '1.4.9.2', '1.4.99.4']), ('kegg.reaction', 'R02382'), ('metanetx.reaction', 'MNXR104996'), ('rhea', ['30591', '30592', '30593', '30594']), ('sbo', 'SBO:0000375')])",b1386,84.37866,2,84.3787,168.7573,24.80585747,24.80585747,19.41531388,3.438063752,19.41531388,19.41531388,3.438063752,,,0,0,0,0,0,0,0,0,0,0
URIH,h2o_c + uri_c --> rib__D_c + ura_c,Uridine hydrolase,,"OrderedDict([('bigg.reaction', 'URIH'), ('biocyc', 'META:URIDINE-NUCLEOSIDASE-RXN'), ('ec-code', '3.2.2.3'), ('kegg.reaction', 'R01080'), ('metanetx.reaction', 'MNXR105161'), ('rhea', ['15577', '15578', '15579', '15580']), ('sbo', 'SBO:0000375')])",b0651 or b2162 or b0030,33.82292 or 33.748 or 32.56077 ,1 or 4 or 1 ,32.5608,32.5608,6.139444444,6.139444444,10.85,3.4328176,10.85,10.85,3.4328176,,,0,0,0,0,0,0,0,0,0,0
42A12BOOXpp,dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",,"OrderedDict([('bigg.reaction', '42A12BOOXpp'), ('biocyc', 'META:RXN6666-4'), ('ec-code', ['1.4.3.21', '1.4.3.4', '1.4.9.2', '1.4.99.4']), ('kegg.reaction', 'R04300'), ('metanetx.reaction', 'MNXR94989'), ('rhea', ['27946', '27947', '27948', '27949']), ('sbo', 'SBO:0000375')])",b1386,84.37866,2,84.3787,168.7573,25.83233333,25.83233333,18.94401584,3.424990514,18.94401584,18.94401584,3.424990514,,,0,0,0,0,0,0,0,0,0,0
ASNN,asn__L_c + h2o_c --> asp__L_c + nh4_c,L-asparaginase,,"OrderedDict([('bigg.reaction', 'ASNN'), ('biocyc', 'META:ASPARAGHYD-RXN'), ('ec-code', ['3.5.1.1', '3.5.1.38', '3.5.5.4']), ('kegg.reaction', 'R00485'), ('metanetx.reaction', 'MNXR96056'), ('rhea', ['21016', '21017', '21018', '21019']), ('sbo', 'SBO:0000375')])",b1767 or b0828,37.12724 or 33.39398 ,4 or 1 ,33.394,33.394,359.59428,359.59428,78.55528232,3.412473633,78.55528231,78.55528231,3.412473633,,,0,0,0,0,0,0,0,0,0,0
ADK3_reverse,adp_c + gdp_c --> amp_c + gtp_c,,"OrderedDict([('reflection', 'ADK3')])",,b0474,23.58602,1,23.586,23.586,145.316,116.4199121,17.85985241,3.410887072,17.85985241,17.85985241,3.410887072,,,0,0,0,0,0,0,0,0,0,0
PLIPA1A180pp,h2o_p + pa180_p --> 2odecg3p_p + ocdca_p,"Phospholipase A1 (phosphatidate, n-C18:0) (periplasm)",,"OrderedDict([('bigg.reaction', 'PLIPA1A180pp'), ('ec-code', '3.1.1.32'), ('metanetx.reaction', 'MNXR102972'), ('sbo', 'SBO:0000375')])",b3821,33.16313,2,33.1631,66.3263,1611.95,1611.95,27.59332876,3.401796593,27.59332876,27.59332876,3.401796593,,,0,0,0,0,0,0,0,0,0,0
TMDPP_reverse,2dr1p_c + thym_c --> pi_c + thymd_c,,"OrderedDict([('reflection', 'TMDPP')])",,b4382,47.20712,2,47.2071,94.4142,144.0822222,144.0822222,20.54290437,3.384654847,20.54290437,20.54290437,3.384654847,,,0,0,0,0,0,0,0,0,0,0
PLIPA1E161pp,h2o_p + pe161_p --> 2agpe161_p + h_p + hdcea_p,"Phospholipase A1 (phosphatidylethanolamine, n-C16:1) (periplasm)",,"OrderedDict([('bigg.reaction', 'PLIPA1E161pp'), ('metanetx.reaction', 'MNXR102978'), ('sbo', 'SBO:0000375')])",b3821,33.16313,2,33.1631,66.3263,,,30.13193456,3.377300372,30.13193456,30.13193456,3.377300372,,,0,0,0,0,0,0,0,0,0,0
XYLI1_reverse,xylu__D_c --> xyl__D_c,,"OrderedDict([('reflection', 'XYLI1')])",,b3565,49.74201,4,49.742,198.968,4.3425,4.3425,11.60675061,3.373315132,11.60675061,11.60675061,3.373315132,,,0,0,0,0,0,0,0,0,0,0
DHACOAH_reverse,3hadpcoa_c --> 23dhacoa_c + h2o_c,,"OrderedDict([('reflection', 'DHACOAH')])",,b1393,27.23737,1,27.2374,27.2374,1111.9,1111.9,22.10545408,3.370168248,22.10545408,22.10545408,3.370168248,,,0,0,0,0,0,0,0,0,0,0
FE3DCITR5,2.0 fe3dcit_c + nadph_c --> 4.0 cit_c + 2.0 fe2_c + h_c + nadp_c,Ferric-dicitrate reductase via nadph,,"OrderedDict([('bigg.reaction', 'FE3DCITR5'), ('sbo', 'SBO:0000375')])",b3070,28.872,1,28.872,28.872,,,16.16468967,3.360666082,16.16468967,16.16468967,3.360666082,,,0,0,0,0,0,0,0,0,0,0
PLIPA2A181pp,h2o_p + pa181_p --> 1odec11eg3p_p + h_p + ocdcea_p,"Phospholipase A2 (phosphatidate, n-C18:1) (periplasm)",,"OrderedDict([('bigg.reaction', 'PLIPA2A181pp'), ('metanetx.reaction', 'MNXR102995'), ('sbo', 'SBO:0000375')])",b3821,33.16313,2,33.1631,66.3263,,,24.48983689,3.356567354,24.48983689,24.48983689,3.356567354,,,0,0,0,0,0,0,0,0,0,0
MLDCP1App,h2o_p + murein5px4p_p --> alaala_p + murein3px4p_p,"Murein L,D-carboxypeptidase (murein5px4p) (periplasm)",,"OrderedDict([('bigg.reaction', 'MLDCP1App'), ('ec-code', '3.4.17.13'), ('metanetx.reaction', 'MNXR101611'), ('sbo', 'SBO:0000375')])",b1678 or b1990 or b0925 or b1113 or b0819,36.082 or 34.411 or 67.812 or 34.636 or 34.636 ,1 or 1 or 1 or 1 or 1 ,34.411,34.411,160,160,22.91057903,3.347434427,22.91057903,22.91057903,3.347434427,,,0,0,0,0,0,0,0,0,0,0
NADH18pp,2dmmq8_c + 4.0 h_c + nadh_c --> 2dmmql8_c + 3.0 h_p + nad_c,NADH dehydrogenase (demethylmenaquinone-8 & 3 protons) (periplasm),,"OrderedDict([('bigg.reaction', 'NADH18pp'), ('ec-code', '1.6.5.3'), ('metanetx.reaction', 'MNXR101866'), ('sbo', 'SBO:0000375')])",b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285,19.87465 and 20.53775 and 25.05582 and 16.45733 and 36.21915 and 56.52454 and 10.84502 and 49.29245 and 66.43808 and 52.04409 and 100.2992 and 68.23611 and 18.59005 ,1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 ,540.4142,540.4142,186.919037,211.0742268,12.51162653,3.3469885,12.51162653,12.51162653,3.3469885,,,0,0,0,0,0,0,0,0,0,0
PPAKr,adp_c + ppap_c --> atp_c + ppa_c,Propionate kinase,"OrderedDict([('reflection', 'PPAKr_reverse')])","OrderedDict([('bigg.reaction', 'PPAKr'), ('ec-code', '2.7.2.15'), ('metanetx.reaction', 'MNXR95897'), ('sbo', 'SBO:0000375')])",b3115,43.38411,1,43.3841,43.3841,96.42857143,96.42857143,18.07521058,3.333441451,18.07521058,18.07521058,3.333441451,,,0,0,0,0,0,0,0,0,0,0
AIRC3,5aizc_c --> 5caiz_c,Phosphoribosylaminoimidazole carboxylase (mutase rxn),"OrderedDict([('reflection', 'AIRC3_reverse')])","OrderedDict([('bigg.reaction', 'AIRC3'), ('biocyc', 'META:RXN0-743'), ('ec-code', '5.4.99.18'), ('kegg.reaction', 'R07405'), ('metanetx.reaction', 'MNXR95645'), ('rhea', ['13193', '13194', '13195', '13196']), ('sbo', 'SBO:0000375')])",b0523,17.78032,8,17.7803,142.2426,14.43333333,11.40787623,16.62498801,3.332286039,16.62498801,16.62498801,3.332286039,,,0,0,0,0,0,0,0,0,0,0
IPPMIa,3c2hmp_c --> 2ippm_c + h2o_c,3-isopropylmalate dehydratase,"OrderedDict([('reflection', 'IPPMIa_reverse')])","OrderedDict([('bigg.reaction', 'IPPMIa'), ('biocyc', 'META:RXN-8991'), ('ec-code', '4.2.1.33'), ('kegg.reaction', 'R04001'), ('metanetx.reaction', 'MNXR100827'), ('rhea', ['10676', '10677', '10678', '10679']), ('sbo', 'SBO:0000375')])",b0071 and b0072,22.48749 and 49.88183 ,1 and 1 ,72.3693,72.3693,3.2,2.666269018,52.40284313,3.323317467,52.40284314,52.40284314,3.323317467,,,0,0,0,0,0,0,0,0,0,0
