,ori_gecko_smoment_flux_cb,ori_gecko_smoment_subunit_flux_cb,mw_cb,kcat_cb
PANTS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,31.5977 # 63.1953,2.59 # 2.59 # 1.4 # 0.02 # 1.4 # 1.4 # 0.02
5DOAN,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.354 # 48.7079,nan # nan # 25.74 # 0.01 # 25.74 # 25.74 # 0.01
ICYSDS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,45.0895 # 90.179,nan # 3.53 # 8.75 # 0.01 # 8.75 # 8.75 # 0.01
MOHMT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.2374 # 282.3744,0.78 # 0.78 # 8.6 # 0.01 # 8.6 # 8.6 # 0.01
PUNP1_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,25.9499 # 155.6995,537.58 # 537.58 # 3.3 # 0.01 # 3.3 # 3.3 # 0.01
ADNK1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,23.586 # 23.586,5.64 # 5.49 # 14.29 # 0.01 # 14.29 # 14.29 # 0.01
GTPCI,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.8306 # 248.3062,14.42 # 14.42 # 13.42 # 0.01 # 13.42 # 13.42 # 0.01
AMPMS2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,70.8504 # 70.8504,nan # nan # 6.73 # 0.01 # 6.73 # 6.73 # 0.01
TYRL,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,26.8961 # 26.8961,nan # nan # 11.24 # 0.01 # 11.24 # 11.24 # 0.01
METAT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.9516 # 167.8065,1.66 # 1.66 # 0.0 # 0.01 # 0.04 # 0.04 # 0.01
PMEACPE,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.505 # 28.505,8.64 # 8.64 # 94.24 # 0.0 # 94.24 # 94.24 # 0.0
RHCCE,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,19.4162 # 19.4162,0.2 # 0.2 # 0.38 # 0.0 # 0.38 # 0.38 # 0.0
BTS5,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,38.6481 # 77.2962,nan # nan # 13.9 # 0.0 # 13.9 # 13.9 # 0.0
I4FE4SR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,13.8486 # 13.8486,nan # nan # 11.39 # 0.0 # 11.39 # 11.39 # 0.0
OHPBAT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,39.7833 # 79.5666,1.07 # 1.48 # 10.69 # 0.0 # 10.69 # 10.69 # 0.0
AOXSr2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,41.5943 # 83.1885,912.61 # 912.61 # 8.39 # 0.0 # 8.39 # 8.39 # 0.0
AMAOTr,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,47.3356 # 94.6712,0.23 # 0.23 # 0.28 # 0.0 # 0.28 # 0.28 # 0.0
DBTS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.1396 # 48.2792,17.37 # 17.37 # 0.03 # 0.0 # 0.03 # 0.03 # 0.0
OGMEACPS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.5151 # 67.0302,nan # 4.36 # 7.35 # 0.0 # 7.35 # 7.35 # 0.0
OPMEACPR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,25.5603 # 102.2412,nan # 12.77 # 21.32 # 0.0 # 21.32 # 21.32 # 0.0
OGMEACPR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,25.5603 # 102.2412,nan # 12.77 # 20.63 # 0.0 # 20.63 # 20.63 # 0.0
EPMEACPR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.8639 # 111.4558,26.96 # 25.33 # 21.15 # 0.0 # 21.15 # 21.15 # 0.0
EGMEACPR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.8639 # 111.4558,26.96 # 25.33 # 11.42 # 0.0 # 11.42 # 11.42 # 0.0
OPMEACPS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,42.6133 # 85.2266,nan # 21.51 # 6.29 # 0.0 # 6.29 # 6.29 # 0.0
OGMEACPD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,17.033 # 102.1977,0.1 # 6.02 # 9.44 # 0.0 # 9.44 # 9.44 # 0.0
OPMEACPD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,17.033 # 102.1977,0.1 # 6.02 # 8.45 # 0.0 # 8.45 # 8.45 # 0.0
OMCDC,0.4 # 0.39 # 0.39,0.4 # 0.32 # 0.26 # 0.26,nan # nan,23.4 # 23.4 # 53.11 # 94.24 # nan # nan # nan
GTPHs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 49.76 # 4.74 # nan # nan # nan
NADPPPS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,70.29 # 70.29 # 44.01 # 10.18 # nan # nan # nan
FESD2s,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 42.24 # 38.14 # nan # nan # nan
ACGAM1PPpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,73.17 # 73.17 # 38.84 # 140.42 # nan # nan # nan
CMPN,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 34.43 # 13.84 # nan # nan # nan
NADN,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,1280.88 # 1280.88 # 33.72 # 6.35 # nan # nan # nan
ACONIs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,10150.0 # 10150.0 # 32.72 # 3.55 # nan # nan # nan
URIC,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,3125.51 # 3125.51 # 32.65 # 16.84 # nan # nan # nan
G5SADs,0.19 # 0.19 # 0.19,0.19 # 0.16 # 0.13 # 0.13,nan # nan,nan # nan # 29.34 # 15.61 # nan # nan # nan
GUR1PPpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 27.71 # 15.61 # nan # nan # nan
NMNN,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 27.39 # 3.48 # nan # nan # nan
CLPNH140pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 27.19 # 3.21 # nan # nan # nan
DHGLYH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 25.77 # 2.66 # nan # nan # nan
SELGTHR3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 25.45 # 4.1 # nan # nan # nan
O16GLCT2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 25.13 # 6.68 # nan # nan # nan
HEX4,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,35.04 # 35.04 # 25.0 # 6.48 # nan # nan # nan
MTHTHFSs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 24.92 # 2.58 # nan # nan # nan
ATPHs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 24.76 # 4.22 # nan # nan # nan
CLPNH160pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 24.54 # 79.11 # nan # nan # nan
ThDPAT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 24.07 # 5.97 # nan # nan # nan
CPGNR1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 24.05 # 34.58 # nan # nan # nan
ACONIs_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,10150.0 # 10150.0 # 23.97 # 3.44 # nan # nan # nan
NADPHHR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 23.84 # 10.09 # nan # nan # nan
FESD1s,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 23.62 # 16.28 # nan # nan # nan
ACGAL1PPpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,73.17 # 73.17 # 23.58 # 2.99 # nan # nan # nan
CLPNH141pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 23.14 # 3.18 # nan # nan # nan
NADHHS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 22.94 # 85.87 # nan # nan # nan
CLPNH120pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 21.03 # 7.04 # nan # nan # nan
SELGTHR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 20.81 # 7.47 # nan # nan # nan
MOX,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 20.57 # 5.69 # nan # nan # nan
DHBSH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 19.09 # 3.55 # nan # nan # nan
FECRMR3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 19.05 # 3.51 # nan # nan # nan
HYPOE,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,5.2 # 5.2 # 18.76 # 3.6 # nan # nan # nan
NADPHHS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 18.62 # 9.63 # nan # nan # nan
METOX2s,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 18.01 # 8.96 # nan # nan # nan
ALDD4,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 17.94 # 5.04 # nan # nan # nan
SELGTHR2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 17.81 # 3.01 # nan # nan # nan
DATPHs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 17.61 # 3.15 # nan # nan # nan
DM_mththf_c,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 17.48 # 2.58 # nan # nan # nan
NADHHR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 17.16 # 5.02 # nan # nan # nan
LALDO3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,0.96 # 0.96 # 16.91 # 4.08 # nan # nan # nan
DHORDfum,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,96.02 # 96.02 # 16.57 # 2.83 # nan # nan # nan
FECRMR2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 16.57 # 7.3 # nan # nan # nan
CBMD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 16.5 # 3.57 # nan # nan # nan
FE3HOXR2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 16.48 # 5.02 # nan # nan # nan
FEENTERexs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 16.45 # 2.81 # nan # nan # nan
CLPNH180pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 15.78 # 3.55 # nan # nan # nan
FECRMexs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 15.54 # 6.48 # nan # nan # nan
R1PK,0.0 # 0.82 # 0.82,0.0 # 0.0 # 0.69 # 0.69,nan # nan,nan # nan # 14.92 # 4.15 # nan # nan # nan
GUACYC,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,59.99 # 59.99 # 14.85 # 4.84 # nan # nan # nan
CPGNR3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 14.58 # 10.16 # nan # nan # nan
ARBTNR1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 14.56 # 5.58 # nan # nan # nan
ARBTNR3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 14.44 # 8.42 # nan # nan # nan
DNMPPA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 14.35 # 2.61 # nan # nan # nan
PDX5PO2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 14.23 # 2.6 # nan # nan # nan
FECRMR1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 14.17 # 3.06 # nan # nan # nan
CLPNH161pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 13.9 # 6.24 # nan # nan # nan
CPGNR2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 13.8 # 20.95 # nan # nan # nan
H2SO,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 13.64 # 2.6 # nan # nan # nan
DM_4crsol_c,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 13.57 # 2.63 # nan # nan # nan
FE3HOXR1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 13.55 # 5.67 # nan # nan # nan
UDCPPtppi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 13.47 # 3.73 # nan # nan # nan
CPGNexs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 13.1 # 3.87 # nan # nan # nan
METOX1s,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 13.06 # 4.41 # nan # nan # nan
FE3HOXR3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 12.96 # 8.04 # nan # nan # nan
FALGTHLs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 12.94 # 10.03 # nan # nan # nan
DM_5drib_c,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 12.89 # 2.63 # nan # nan # nan
CDGS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,5.4 # 5.4 # 12.56 # 7.68 # nan # nan # nan
CLPNH181pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 12.39 # 3.99 # nan # nan # nan
FEENTERR3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 12.35 # 2.79 # nan # nan # nan
FE3HOXexs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 11.99 # 11.16 # nan # nan # nan
ARBTNR2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 11.93 # 6.45 # nan # nan # nan
FALGTHLs_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 11.82 # 3.65 # nan # nan # nan
FEENTERR1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 11.77 # 5.4 # nan # nan # nan
DM_oxam_c,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 11.58 # 3.03 # nan # nan # nan
FEENTERR2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 11.23 # 2.82 # nan # nan # nan
FTHFLi,0.0 # 0.0 # 0.0,0.0 # 0.08 # 0.0 # 0.0,nan # nan,286.36 # 286.36 # 10.8 # 5.92 # nan # nan # nan
FE3DCITexs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 10.71 # 2.62 # nan # nan # nan
FEOXAMexs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 10.7 # 7.27 # nan # nan # nan
ARBTNexs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 10.3 # 2.79 # nan # nan # nan
OPHHX3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 10.28 # 2.62 # nan # nan # nan
DM_aacald_c,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 10.16 # 2.72 # nan # nan # nan
AOBUTDs,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,12.3 # 12.3 # 10.03 # 2.58 # nan # nan # nan
OMMBLHX3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 8.87 # 2.77 # nan # nan # nan
DM_amob_c,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 8.02 # 2.58 # nan # nan # nan
AACTOOR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,35.21 # 35.21 # 7.95 # 2.58 # nan # nan # nan
DHPTDCs2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 7.8 # 2.58 # nan # nan # nan
OXAMTC,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # 7.69 # 2.79 # nan # nan # nan
ZNabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,300.0 # 300.0 # nan # nan # nan # 0.02 # nan
ZN2abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,300.0 # 300.0 # nan # nan # nan # 0.02 # nan
CA2tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,134.63 # 154.24 # nan # nan # nan # 7.11 # nan
CA2tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,134.63 # 154.24 # nan # nan # nan # 7.11 # nan
MG2uabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,22.5 # 22.5 # nan # nan # nan # 90.0 # nan
ATPM,6.86 # 6.86 # 6.86,6.86 # 6.86 # 6.86 # 6.86,nan # nan,8.8 # 8.8 # nan # nan # nan # nan # nan
MALTabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,3.1 # 3.1 # nan # nan # nan # 24.0 # nan
CU1abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,3.08 # 3.08 # nan # nan # nan # 0.02 # nan
CBL1abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,0.84 # 0.84 # nan # nan # nan # 0.84 # nan
CBIuabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,0.84 # 0.84 # nan # nan # nan # 0.84 # nan
MALTTTRtexi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 8404.69 # nan # nan # nan # 14.58 # nan
MALTTRtexi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 8404.69 # nan # nan # nan # 14.58 # nan
MALTPTtexi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 8404.69 # nan # nan # nan # 14.58 # nan
MALTHXtexi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 8404.69 # nan # nan # nan # 14.58 # nan
MALTtexi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 8404.69 # nan # nan # nan # 14.58 # nan
Zn2tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
Zn2tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
XYLUtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
XYLUtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
XYLtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
XYLtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
XTSNtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
XTSNtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
XMPtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
XMPtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
XANtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
XANtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
VALtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
VALtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UREAtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UREAtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
URAtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
URAtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UMPtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UMPtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UDPGLCURtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UDPGLCURtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UDPGALtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UDPGALtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UDPGtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UDPGtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UDPACGALtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UDPACGALtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UACGAMtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
UACGAMtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TYRPtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TYRPtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TYRtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TYRtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TYMtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TYMtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TUNGStex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TUNGStex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
TTRCYCtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # 467.92 # nan # nan # nan # 7.11 # nan
