,smoment_no_adj_kcat,smoment_adj_kcat,kcat_in_vitro,kapp,kcat_GO
ACPS1,0.412904762,0.412904762,1,6.003799704,1
PLIPA1A161pp,,,44.31281074,5.990664536,44.31281075
HADPCOADH3,1379.303195,1379.303195,20.96620434,5.988921713,20.96620434
THIORDXi,952.5803158,952.5803158,14.2791634,5.987279593,14.2791634
PTHRpp,,,22.34633649,5.985689987,22.34633649
CRNBTCT,,,15.1036771,5.983701004,15.10367711
PUACGAMS,,,9.532861846,5.981950699,9.532861847
OMMBLHXy,,,20.06564615,5.981249528,20.06564615
MALDDH,,,23.25788484,5.981023437,23.25788484
LACZpp,531.1,531.1,13.72708842,5.95950905,13.72708842
MLTP3,49.31054468,49.31054468,28,5.94994885,28
LPLIPAL1A140pp,1034.85,1034.85,12.75869688,5.948519688,12.75869688
M1PD,67.8875,67.8875,190,5.948349177,190
LPLIPAL2E180,1034.85,1034.85,13.09385144,5.942401839,13.09385144
ALAALAD,103.7782,103.7782,19.65849572,5.940383559,19.65849572
3OAR100_reverse,87.99916207,85.49145213,22.41626953,5.930633333,22.41626953
2AGPEAT181,,,8.5474286,5.922305858,8.5474286
S2FE2SR,,,8.6823888,5.919977286,8.6823888
NTPP5,14.2877,14.2877,11.6,5.915157714,11.6
GTHPi,15476.06385,15476.06385,16.57151324,5.893114877,16.57151324
PGSA180,,,27.89068932,5.892130984,27.89068931
CLPNS181pp,,,15.93887424,5.883974522,15.93887424
CBIAT_reverse,176.326452,176.326452,20.98756775,5.874531631,20.98756775
PACCOAL,31.81818182,31.81818182,10.94838632,5.867803813,10.94838632
G3PAT140,0.029745,0.029745,11.03708962,5.858202954,11.03708962
BETALDHy,80.33571429,80.33571429,18.43367972,5.842915389,18.43367972
HEPK1,,,11.44469462,5.826354989,11.44469463
VPAMTr,,,10.80345965,5.810062333,10.80345965
DSBAO1,,,11.83041673,5.798116126,11.83041673
DHBS,3.443333333,3.443333333,5.83,5.797526723,5.83
AACPS3,0.016,0.016,7.587774361,5.782915926,7.587774361
CRNCAR_reverse,,,59.12888571,5.760720106,59.12888572
FACOAL160t2pp,,,8.463249077,5.759537543,8.463249078
SPMS,6.948181818,6.948181818,16.69336505,5.758272684,16.69336506
AM4PA,,,30.0635498,5.75338572,30.06354981
GLUNpp,35.39611111,35.39611111,33,5.739187481,33
PCNO,37.33333333,37.33333333,11.07366618,5.731301565,11.07366618
GGGABADr,,,23.4824025,5.72905169,23.4824025
FACOAL181t2pp,,,0.029,5.725967978,0.029
ASPT,131.9035714,131.9035714,180,5.715033955,180
CHOLID,,,17.10014847,5.714194318,17.10014848
DHFR_reverse,10.035,10.035,10,5.711039068,10
HPYRP,,,21.69402356,5.707313969,21.69402356
GLYCLTDx,119773.8367,119773.8367,14.61796858,5.698523988,14.61796858
MOGDS,,,17.80976593,5.690855698,17.80976592
USHD,,,37.77302876,5.687533175,37.77302878
LCARS_reverse,,,20.97673599,5.677993443,20.97673599
GALCTND,5.74,5.74,21.00912757,5.671794824,21.00912757
PPPNDO,,,12.788324,5.661281319,12.788324
MCITL2_reverse,72.06,72.06,12.83975349,5.661236228,12.83975349
FRULYSE,,,22.31232781,5.65208935,22.31232781
APPLDHr_reverse,0.179366667,0.179366667,21.47023577,5.644118217,21.47023577
PNSPA,,,23.87657376,5.630444393,23.87657376
CRNDCAL2,,,13.92569519,5.615672262,13.92569519
HPACOAT,,,32.37138638,5.610894572,32.37138639
FUM_reverse,444.2821429,422.2720489,1150,0.598930214,1150
MLTP2_reverse,49.31054468,49.31054468,17.07839289,5.597789211,17.07839289
ACPPAT160,,,15.72129405,5.591479921,15.72129405
AGM4PA,,,28.47062996,5.583178615,28.47062997
2DGULRx,,,16.24312292,5.581803834,16.24312292
GGGABADr_reverse,,,15.46842882,5.578655624,15.46842882
ALAALAr_reverse,13.65727273,13.65727273,11.25567683,5.577565733,11.25567683
ACMAMUT,,,20.71332363,5.565053483,20.71332363
OHPBAT_reverse,1.07125,1.47684005,16.41596575,5.562523653,16.41596575
CPMPS,,,18.77488784,5.51984444,18.77488784
IDOND_reverse,,,20.23968803,5.512896524,20.23968803
APH160,,,12.28629038,5.501070909,12.28629038
AACPS4,,,8.574563444,5.500408614,8.574563444
F6PA_reverse,,,24.75301015,5.498964113,24.75301015
FDMO3,,,20.33540936,5.495989238,20.33540936
FCLPA_reverse,12.98666667,12.98666667,19.3,5.483147424,19.3
TREH,312.713,312.713,199,5.479033035,199
FACOAL180t2pp,,,9.090930667,5.471365664,9.090930667
G3PAT160,0.029745,0.029745,10.12138638,5.460345573,10.12138638
FACOAL120t2pp,,,8.422037497,5.450711103,8.422037497
IDOND,,,24.83102164,5.450378029,24.83102164
GLCTR1,,,18.72273365,5.448875796,18.72273365
RNDR3b,,,25.27417548,5.448136726,25.27417548
PUNP6,33.974,33.974,2.01,5.446278586,2.01
LPLIPAL2ATG181,,,10.29411263,5.444651914,10.29411263
2DGULRy,,,12.69722873,5.434004508,12.69722873
OCBT_reverse,566.4757167,45.79557929,21.22376662,5.432733255,21.22376662
DHNPTE,,,11.32959407,5.420232565,11.32959407
DHCINDO,22.72,22.72,11.79702527,5.415446579,11.79702527
GLYCDx,14.47533333,14.47533333,17.2,5.409213319,17.2
PAPA181,,,106.8658425,5.40752689,106.8658425
URIK1,146.24082,146.24082,12.20237927,5.395427305,12.20237927
FACOAL100t2pp,,,9.540579948,5.390292656,9.540579947
E4PD_reverse,49.95111111,47.87627061,18.58458756,5.382079956,18.58458756
AACPS8,0.016,0.016,5.850908375,5.361149442,5.850908375
AACPS7,,,7.210721582,5.339009755,7.210721583
ALLPI,5952.1812,5952.1812,11.72355405,5.333704853,11.72355404
DKGLCNR2x,,,10.09529742,5.321405763,10.09529742
REPHACCOAI,,,23.13679359,5.321365495,23.13679359
CLPNS160pp_reverse,,,17.87435789,5.319664402,17.87435789
PUNP7,33.974,33.974,2.01,5.316219971,2.01
NADH5,,3234.95424,24.80259909,5.308882327,24.80259909
AMANK,40.57777778,40.57777778,56,5.261163669,56
NTD5pp,80.58333333,80.58333333,30.4,5.258913301,30.4
CDGR,0.07513,0.07513,10.8964118,5.258402684,10.89641181
ECOAH8,1111.9,1111.9,8.912808096,5.239732006,8.912808094
LPLIPAL2A180,1034.85,1034.85,15.85629043,5.233252686,15.85629043
GLGC,75.92347619,75.92347619,370,5.230448783,370
MPTG,,,14.71847982,5.221395958,14.71847982
PUNP5,1256.088182,1256.088182,6200,5.215798845,6200
PSURIK,,,10.99469437,5.214344281,10.99469437
PCNO_reverse,37.33333333,37.33333333,20.13979187,5.212996724,20.13979187
PGSA141,,,21.89492035,5.208397522,21.89492035
TMAOR2pp,,,9.06275152,5.202184336,9.062751519
NODOy,156.9053846,156.9053846,26.70525073,5.200549382,26.70525073
CLPNS141pp_reverse,,,7.268370506,5.196186579,7.268370506
F6PP,,,73.2608088,5.194175119,73.26080881
2AGPEAT141,,,9.761119628,5.190078857,9.761119628
SPMDAT2,0.9943,0.9943,19.38410949,5.188415821,19.38410949
AGPAT141,,,22.29221759,5.181088895,22.29221759
PSSA140,,,14.00935567,5.173578654,14.00935567
TDPDRE,138.348875,138.348875,10.06376853,5.162197488,10.06376853
FACOAL141t2pp,,,8.796417571,5.145697739,8.796417572
EAR140x,,,22.17022979,5.140681697,22.17022979
ARHGDx,,,13.93210034,5.140175722,13.93210034
CCGS,,,10.1741219,5.130992164,10.1741219
APG3PAT160,,,36.43401162,5.113237519,36.43401161
O16AP1pp,,,28.95350858,5.109556846,28.95350858
NTD1,80.58333333,80.58333333,24,5.106039327,24
GMAND,4.316,4.316,12.52382989,5.096570354,12.52382989
HKNTDH,4.018,4.018,24.70421866,5.090914714,24.70421866
PSSA181,,,32.71728136,5.08475489,32.71728136
HADPCOADH3_reverse,1379.303195,1379.303195,20.35781671,5.071775765,20.35781671
SARCOX,20.029,20.029,28.19543248,5.066727646,28.19543247
DAGK120,,,21.63003419,5.064435389,21.63003419
GUI1_reverse,67.86666667,67.86666667,13.36642755,5.063143199,13.36642755
G3PAT181,0.029745,0.029745,11.21313993,5.061684825,11.21313993
CLPNS180pp,,,12.38128122,5.047580147,12.38128122
NTD6pp,80.58333333,80.58333333,14,5.033013805,14
RMI_reverse,663.1774,663.1774,14.79564812,5.031877589,14.79564812
MOCDS,,,12.33124569,5.029561516,12.33124569
DAGK161,,,29.58019579,5.027157651,29.58019578
PSD181,,,14.56894362,5.019314482,14.56894362
NTD1pp,80.58333333,80.58333333,24,5.017246694,24
LPLIPAL1E120pp,,,18.94825545,5.013679326,18.94825545
BETALDHx,80.33571429,80.33571429,31.75253275,5.012049172,31.75253275
CYNTAH,,,12.94441375,5.006699802,12.94441375
IGPS,3.886333333,3.756432914,49.7921389,5,49.79213889
PRAIi,114.425,105.7621482,32,5,32
ANPRT,1.2111,1.359968356,12.13529219,5,12.13529219
TRPAS2_reverse,12.63636364,12.63636364,8.841138828,5,8.841138828
GMPS2,88.30191667,6.035914947,8.638971851,5,8.63897185
ACOTA,1.185,1.570415529,3,4.998995586,3
YUMPS,,,23.00577289,4.992268118,23.00577289
NTD9pp,96.6485,96.6485,65,4.991462231,65
ORPT_reverse,262.62268,262.62268,23.81216602,4.988008644,23.81216602
PAPA141pp,,,87.58621044,4.98406453,87.58621044
ACP1p,,,11.78298948,4.977952485,11.78298948
THRA2,,1.300374828,18.11482279,4.963743757,18.11482279
R15BPK,,,16.64245863,4.961721077,16.64245863
MACPD,,,46.09718255,4.960793355,46.09718256
DHPTPE_reverse,,,23.9303193,4.941136503,23.9303193
PAPA161,,,85.20504084,4.935455024,85.20504083
DHPTPE,,,33.86856281,4.933320068,33.86856281
PUNP1,28.6325,28.6325,3.3,4.931802966,3.3
ALAALAr,13.65370205,13.65370205,13.60081325,4.926713043,13.60081325
POAACR,,,10.42501282,4.921310836,10.42501283
MCOATA,199.6692538,185.5503519,9.952825634,4.918484161,9.952825633
CBIAT,176.326452,176.326452,19.78782807,4.913741563,19.78782807
DGUNC,,,15.01914924,4.912770886,15.01914924
FA120ACPHi,,,41.9090434,4.912260242,41.90904339
HXPRT,8.197264444,8.197264444,23.48536309,4.907179402,23.48536309
FMNRx2,23.06,23.06,15.99636664,4.904015104,15.99636664
PRAGSr_reverse,203.34,170.5213354,25.78762194,4.903917074,25.78762194
IPMD,23.4,22.21735405,33.68599163,4.9,33.68599164
DSERDHr_reverse,,,14.18865017,4.895196178,14.18865017
APH181,,,10.1215737,4.883618908,10.12157369
DHFR,10.79909091,10.79909091,19.20763991,4.883028858,19.20763991
AGMH,,,19.67836358,4.876231257,19.67836358
UAGAAT,9.166666667,9.166666667,15.27859144,4.874415813,15.27859144
T2DECAI_reverse,,11.43444051,21.05934398,4.873138241,21.05934398
ANS,8.582722222,8.359280814,3.7,4.868606473,3.7
PGPP141pp,,,65.92628649,4.861411853,65.9262865
2DGULRGx,,,16.89881271,4.860078645,16.89881271
FACOAL80t2pp,,,8.903103472,4.84981115,8.903103472
OAADC,166.8623899,166.8623899,86.70086802,4.848490046,86.70086803
2AGPGAT120,,,9.035422634,4.845749599,9.035422633
PGPP180,24,24,34.45965934,4.826660061,34.45965933
NDPK3,194.8532778,184.6379278,12.53559714,4.810332448,12.53559714
SDPTA,24,13.55603882,0.3,4.805407532,0.3
DASYN180,5.806666667,5.806666667,14.23881644,4.798774222,14.23881644
IMPC,8.6,6.838281569,9.459799072,4.791131893,9.459799072
PGPP181,24,24,26.98969747,4.787216581,26.98969747
2AGPEAT120,,,6.622459653,4.781411995,6.622459653
CLPNS120pp_reverse,,,7.866069369,4.773746592,7.866069369
GUAPRT,22.68957273,22.68957273,112,4.771999989,112
DKGLCNR2y,44.45,44.45,10.94364978,4.755666825,10.94364978
NTD3pp,80.58333333,80.58333333,26,4.737863125,26
HCO3E_reverse,2817265.217,2817265.217,23.56288032,4.737769173,23.56288031
TALA_reverse,178.09,153.1869184,31.37392198,4.724413506,31.37392197
NTD12pp,,,0.24,4.724317607,0.24
3OAR181,153.8809091,142.1214887,26.73620998,4.720402503,26.73620998
EAR181y,26.96333333,25.33367341,18.99989238,4.713566609,18.99989238
O16AP3pp,,,12.99492811,4.712455137,12.99492811
2AGPEAT161,,,11.13604886,4.700660942,11.13604886
AACPS6,0.016,0.016,6.97352662,4.700067462,6.973526619
MSAR,57.605,57.605,22.17937039,4.692517044,22.17937039
ADSL1r_reverse,123.31,113.3067769,10.41658133,4.676494283,10.41658133
3OAS180,0.134765,1.152858259,17.97628047,4.673042405,17.97628047
NADPHQR4,,,14.96876712,4.669431607,14.96876712
GLCRD,21.76272727,21.76272727,35,4.66855188,35
HPYRRx,9.720555556,9.720555556,17.34114018,4.665842093,17.34114018
CYSTL,9.445,8.060267743,34.1,4.664485948,34.1
3HAD181,,,16.12957222,4.652395166,16.12957222
DHPPD,,,33.83949593,4.648788924,33.83949594
FEENTERR4,,,11.76053774,4.635318568,11.76053774
EDTXS3,,,13.55083399,4.631300065,13.55083399
NTD10pp,96.6485,96.6485,24.06368387,4.630514075,24.06368387
ASR,0.154,0.154,18.56505015,4.629599304,18.56505015
IPDDI,2151.644571,2151.644571,14.17904899,4.619909122,14.17904899
3HPPPNH,,,17.36831679,4.59296678,17.36831679
RHMND_reverse,,,22.75401532,4.590690988,22.75401532
NTD4pp,96.6485,96.6485,91,4.584285276,91
4HTHRA_reverse,,,16.26233855,4.581111527,16.26233854
LPLIPAL2ATE161,,,15.16196472,4.571569173,15.16196472
RNTR4c2,,,12.21490026,4.556600408,12.21490026
PUNP2,33.974,33.974,2.01,4.550329764,2.01
SBTPD,,,53.30564314,4.543821947,53.30564314
LPLIPAL2G140,,,15.21337012,4.53107977,15.21337012
NTD7pp,96.6485,96.6485,23,4.523144191,23
PAPA180pp,,,66.04234009,4.52282505,66.04234008
POR5,,,7.941958634,4.503832691,7.941958633
PAPA160,,,57.90350582,4.497448149,57.90350581
3OAR60_reverse,87.99916207,85.49145213,35.22338121,4.492082896,35.22338119
ALPATE160pp,,,9.69091189,4.492064331,9.690911889
ADK1_reverse,32.5761,29.69059639,39.61403898,4.491678236,39.61403897
ACCOAL,137.4857143,137.4857143,9.905806158,4.48786131,9.905806158
NTD11pp,96.6485,96.6485,24.23100429,4.485561924,24.23100429
GPDDA3,2.0446,2.0446,2.8,4.482408576,2.8
SUCBZL,59.09333333,59.09333333,7.297560147,4.479810623,7.297560147
ACOXT,,,13.45674007,4.465733755,13.45674008
PUNP3,49.23076923,49.23076923,2.01,4.455916086,2.01
ADSL2r_reverse,123.31,113.3067769,10.13437816,4.438355659,10.13437816
EAR120x,,,19.57602815,4.437163039,19.57602815
CPH4S,,,25.4245276,4.430928882,25.4245276
HMPK1,0.216571429,0.216571429,0.43,4.424379115,0.43
PUNP4,33.974,33.974,2.01,4.409912597,2.01
NTD8pp,80.58333333,80.58333333,15,4.406592886,15
DSERDHr,,,12.32711832,4.398756064,12.32711832
DHPTDNR,89.94032258,89.94032258,13.4,4.397009943,13.4
EAR40y,,,18.96288521,4.383275555,18.96288521
3OAR160_reverse,87.99916207,85.49145213,31.76696198,4.377823449,31.76696197
LPLIPAL1A181pp,,,13.2353725,4.376429943,13.2353725
LIPAMPL,,,12.7102976,4.376212182,12.7102976
DHBD_reverse,17.33936364,17.33936364,22.91985702,4.375490843,22.91985703
PPCSCT,14.2,14.2,21.56240381,4.374357528,21.56240381
PAPA120pp,,,91.35577595,4.31557077,91.35577594
3OAR40_reverse,117.2620952,112.5123575,23.45763677,4.299886902,23.45763677
PMANM_reverse,24.80384615,24.80384615,13.1788376,4.29510691,13.1788376
LPLIPAL1G161pp,,,13.21988336,4.276122829,13.21988336
FACOAL140t2pp,,,9.290061469,4.275776788,9.290061469
CSND,51.48368421,51.48368421,185,4.261612656,185
LPLIPAL2ATG120,,,11.54826693,4.239832478,11.54826693
EAR140y,,,19.84111078,4.235004068,19.84111078
GLCTR2,,,11.24749202,4.230750661,11.24749202
3OAS140,,,10.60356575,4.228023415,10.60356575
LPLIPAL2ATE120,,,12.20424249,4.226229102,12.20424249
DADK,302.325525,279.1339893,17.3730945,4.215796718,17.37309451
PAPA180,,,122.2623226,4.214851639,122.2623226
NDPK8,194.8532778,184.6379278,8.341996177,4.214408438,8.341996178
ASPO6,1.99145,1.99145,27.18450692,4.2,27.18450692
KDOCT2,14.63333333,14.63333333,16.84928837,4.2,16.84928837
NNATr,11.83572657,11.83572657,10.0411413,4.2,10.0411413
OMPHHXy,,,10.33016967,4.196855045,10.33016967
UDCPDP,,,9,4.193440598,9
UDPGALPpp,349.05,349.05,48.14404919,4.193181649,48.14404919
LPLIPAL1E160pp,,,13.61623723,4.170528606,13.61623723
ACPPAT120,,,15.33364635,4.147044171,15.33364635
FDMO4,0.823333333,0.823333333,23.28188209,4.141892106,23.28188209
DHCIND,,,44.41873457,4.136240113,44.41873458
CYSTA,161.435,161.435,16.83983996,4.134175289,16.83983996
PAPA161pp,,,140.2758055,4.117479738,140.2758055
EAR141x,15.555278,14.66641222,17.21547305,4.11730633,17.21547305
PLIPA2A160pp,28.49245455,28.49245455,27.11997413,4.113773754,27.11997413
LPLIPAL2ATG140,,,10.49324648,4.106165323,10.49324648
LKDRA,,,25.33696546,4.096764998,25.33696546
ACPPAT181,,,8.249890398,4.093843451,8.249890397
EAR80x,,,17.46155486,4.085249155,17.46155486
3OAR60,136.5761538,127.7327046,15.59324165,4.076839808,15.59324165
DURADx_reverse,0.49,0.49,0.64,4.058844866,0.64
MLTGY4pp,,,17.71309543,4.055832293,17.71309543
DHBD,17.33936364,17.33936364,27.91852097,4.052772426,27.91852097
CRNCDH_reverse,,,22.32579119,4.048134745,22.32579119
NDPK8_reverse,194.8532778,184.6379278,12.70348893,4.004968039,12.70348893
FBA3,5.6265,6.109084507,22.83607992,4,22.83607992
PGAMT_reverse,1.5664,1.541797044,7.9,4,7.9
THRS,373.1697545,342.2626676,4,4,400
LPLIPAL1A161pp,,,17.85905202,3.999445891,17.85905202
UGLCURPpp,,,38.87511379,3.988783823,38.87511381
TDPAGTA,0.38,0.38,0.38,3.984486089,0.38
LPLIPAL2ATG180,,,9.911805879,3.972880299,9.911805878
EAR60y,,,14.74965174,3.972401866,14.74965174
TDPDRR,32.2,32.2,22.14118268,3.968975677,22.14118268
ULA4NFT,,,69.74536943,3.968759801,69.74536942
LPLIPAL1G180pp,,,11.58902932,3.9555686,11.58902932
GLCTR3,,,12.6372446,3.947983868,12.63724461
3OAS60,,,6.754166962,3.947451754,6.754166961
RZ5PP,,,45.55352235,3.946434827,45.55352236
AGM3Pt2pp,,,19.5894287,3.943386042,19.5894287
LSERDHr,212.752,212.752,17.9604077,3.923714198,17.9604077
LIPAabcpp,,,9.406426186,3.920985718,9.406426186
NTD6,80.58333333,80.58333333,14,3.915570864,14
EAR121x,15.555278,14.66641222,24.53591633,3.914555576,24.53591633
ACANTHAT,,,20.54264434,3.900718406,20.54264434
UDPGPpp,213.7421667,213.7421667,36.43576836,3.882598151,36.43576836
3HCINNMH,,,14.63194766,3.869848524,14.63194766
ASPTA,159.5076923,153.8039543,0.016,3.867124727,0.016
ICHORT,32.25722222,32.25722222,10,3.866090387,10
UACGALPpp,349.05,349.05,34.49704248,3.846353019,34.49704247
LPLIPAL1E161pp,,,14.33679011,3.832492479,14.33679011
NADHXE,,,17.899014,3.816034308,17.899014
APCS,89.61916667,89.61916667,8.963816127,3.808283019,8.963816128
IGPDH,1000,500.8678974,29.58865007,3.8,29.58865006
HISTP,430.7552143,402.1539197,25.85104997,3.8,25.85104997
CLPNS161pp_reverse,,,7.960385639,3.792873317,7.960385639
3HAD40,,,14.44309745,3.784058214,14.44309745
UDPG4E,454.3641555,454.3641555,23.9,3.782725804,23.9
EAR60x,,,20.59287944,3.766796888,20.59287944
ATHRDHr,12.302,12.302,17.94527019,3.752698859,17.94527019
DAGK181,,,20.75107915,3.723962587,20.75107915
DADK_reverse,32.5761,29.69059639,12.67441592,3.706604747,12.67441592
EAR100x,,,27.97878898,3.701355331,27.97878897
SELR,,,13.73443278,3.687089923,13.73443278
DUTPDP,20.58,18.82293613,11,3.669991124,11
FOMETRi,15.39166667,15.39166667,11.71508076,3.667970802,11.71508076
3OAS181,0.029,0.029,31.41198965,3.667821338,31.41198967
CYSDS,4.7261875,4.596490513,19.57912807,3.661771671,19.57912808
CYSSADS,15.18714615,15.18714615,9.102443023,3.655409553,9.102443022
NADHXE_reverse,,,34.53523413,3.654495706,34.53523414
NDPK2_reverse,194.8532778,184.6379278,18.58278761,3.651016014,18.58278761
LPLIPAL2A181,,,11.11341166,3.636607003,11.11341166
ADPRDP,19.60764706,19.60764706,117,3.619746579,117
DURIK1,2.3655,2.3655,13.31541091,3.614503133,13.31541091
MEPCT,25.11,25.11,25.9,3.6,25.9
KARA2,2.574619048,2.535802818,16.11290053,0.75,16.11290053
GLCS1,303.75,303.75,19.36022096,3.595301105,19.36022096
ACM6PH,5.7,5.7,5.7,3.586349103,5.7
EAR180x,15.555278,14.66641222,14.41107281,3.578348705,14.41107281
O16AP2pp,,,27.08997052,3.558658272,27.08997053
CBPS,400.8592308,372.8828769,4.79,3.545737452,4.79
PLIPA1A160pp,1611.95,1611.95,34.6715093,3.540304502,34.67150931
NDPK4,194.8532778,184.6379278,11.90670976,3.538777581,11.90670976
EDTXS1,131,131,15.46792419,3.525487913,15.46792419
APH120,,,11.76190342,3.503599973,11.76190342
PRASCSi,,,11.68156382,3.5,11.68156382
RNDR3,2.831166667,2.831166667,13.70964434,3.490687441,13.70964434
LCARS,,,14.8590437,3.479224118,14.8590437
TYROXDApp,24.80585747,24.80585747,19.41531388,3.438063752,19.41531388
URIH,6.139444444,6.139444444,10.85,3.4328176,10.85
42A12BOOXpp,25.83233333,25.83233333,18.94401584,3.424990514,18.94401584
ASNN,359.59428,359.59428,78.55528232,3.412473633,78.55528231
ADK3_reverse,145.316,116.4199121,17.85985241,3.410887072,17.85985241
PLIPA1A180pp,1611.95,1611.95,27.59332876,3.401796593,27.59332876
TMDPP_reverse,144.0822222,144.0822222,20.54290437,3.384654847,20.54290437
PLIPA1E161pp,,,30.13193456,3.377300372,30.13193456
XYLI1_reverse,4.3425,4.3425,11.60675061,3.373315132,11.60675061
DHACOAH_reverse,1111.9,1111.9,22.10545408,3.370168248,22.10545408
FE3DCITR5,,,16.16468967,3.360666082,16.16468967
PLIPA2A181pp,,,24.48983689,3.356567354,24.48983689
MLDCP1App,160,160,22.91057903,3.347434427,22.91057903
NADH18pp,186.919037,211.0742268,12.51162653,3.3469885,12.51162653
PPAKr,96.42857143,96.42857143,18.07521058,3.333441451,18.07521058
AIRC3,14.43333333,11.40787623,16.62498801,3.332286039,16.62498801
IPPMIa,3.2,2.666269018,52.40284313,3.323317467,52.40284314
TGBPA_reverse,7.384583334,7.384583334,10.66355135,3.322925725,10.66355134
GRXR,48.61625,48.61625,20.61291216,3.319518691,20.61291216
LDH_D2,,,21.60515967,3.305521855,21.60515967
HSTPT,268.1982024,250.4430498,21.73194283,3.3,21.73194283
DXPRIi,1735.951667,1735.951667,9.437743874,3.3,9.437743875
UAGCVT,3.281818182,3.119244454,4.75,3.3,4.75
ADSS,2.160615385,2.101536919,1.37,3.3,1.37
DSBAO2,,,11.28564682,3.298476863,11.28564682
3OAR40,153.8809091,142.1214887,20.37350835,3.296360494,20.37350835
PLIPA2G161pp,,,38.67546902,3.294420227,38.67546903
ORPT,4.2551,4.2551,12.92154256,3.289976644,12.92154256
LPLIPAL2G161,,,17.00277124,3.280021043,17.00277124
PLIPA2E141pp,,,32.0846814,3.279485008,32.08468142
KARA2_reverse,2.574619048,2.535802818,13.25085957,3.273874478,13.25085957
MDDCP4pp,33.84328846,33.84328846,15.13334357,3.269591448,15.13334357
3OAR180_reverse,117.2620952,112.5123575,17.28961016,3.267805433,17.28961016
UACGAMPpp,349.05,349.05,49.50597504,3.242381494,49.50597503
PLIPA2G180pp,,,25.64379425,3.241870823,25.64379424
GTPDPDP,104.3433,104.3433,30.00011665,3.226849766,30.00011667
MCPST,478.5468182,478.5468182,12.5,3.213539982,12.5
MN6PP,,,22.2281386,3.209170762,22.2281386
HETZK,,,10.51601661,3.206323894,10.51601661
ARGDCpp,3.366818182,3.366818182,10.38028505,3.205971678,10.38028504
DHNCOAT,,,15.5967029,3.199912821,15.59670291
MLDCP3App,160,160,11.53358891,3.186747251,11.53358891
POX,,,21.58519571,3.181068114,21.58519571
NNAM,9.9753,9.9753,116.4682125,3.161249892,116.4682125
LYSDC,118.4756364,118.4756364,30,3.158589029,30
LDH_D_reverse,453.3333333,418.6495087,10.77681083,3.136333087,10.77681083
OXCDC,74.35,74.35,60.7,3.13545753,60.7
FTHFD,,,15.77758269,3.131540263,15.77758269
NTD3,80.58333333,80.58333333,26,3.127580016,26
BSORx,,,18.07618341,3.107440404,18.07618341
LSERDHr_reverse,212.752,212.752,18.0852758,3.106879223,18.0852758
FLVR,25.52670435,25.52670435,15.81296049,3.102242285,15.81296049
HISTD,5.091545455,4.899231215,46.55976959,3.1,46.55976958
MPTG2,,,18.86608212,3.097721273,18.86608212
ICHORS_copy2_reverse,10.24208333,10.24208333,17.0746382,3.095411529,17.0746382
MOAT3C,,,11.75927348,3.090450389,11.75927348
PLIPA1E180pp,1611.95,1611.95,30.64864822,3.080990786,30.64864822
DHNPA2r_reverse,0.345266667,0.345266667,13.7891236,3.078378922,13.7891236
ASNS1,2.238125,2.238125,2.94,3.074693676,2.94
ENTERES,,,46.44012336,3.072544293,46.44012336
APH180,,,8.303540985,3.070320567,8.303540986
GMPR,0.337,0.337,8.782395507,3.067623358,8.782395508
PSD180,,,16.13913151,3.066444022,16.13913151
MTRPOX,,,124.5425389,3.064411675,124.5425389
AGPAT140,,,21.56839715,3.057857482,21.56839715
RNDR2,2.831166667,2.831166667,15.7192317,3.05495716,15.7192317
GPDDA5,,,20.75704894,3.051306006,20.75704894
5DKGR,,,19.80797454,3.041734363,19.80797454
CYTK2_reverse,83.45304444,83.45304444,109,3.027189431,109
CTBTCAL2,,,13.8617289,3.021568219,13.8617289
DCTPD,257.71,257.71,1.24,3.018661437,1.24
RNDR4,2.831166667,2.791124924,16.70440857,3.016523997,16.70440857
UDPKAAT,,,7.424983707,3.01171141,7.424983708
HEPT2,,,9.927916791,3.0102508,9.927916792
GP4GH,,,35.89425771,3.007985407,35.89425772
NADPHXD,,,12.07602539,3.006352074,12.07602539
GALUi,165.6348095,165.6348095,12.12357073,3.002658892,12.12357073
CLPNS140pp,,,14.75831701,2.998544044,14.75831701
SPODMpp,50519.8,50519.8,18.47346297,2.997192486,18.47346297
FBA3_reverse,5.6265,6.109084507,16.05978033,2.99247456,16.05978034
ENTCS,,,20.9187817,2.992369783,20.9187817
PLIPA1G180pp,,,38.61127657,2.981030632,38.61127658
PSSA141,,,12.24050189,2.979321136,12.24050189
REPHACCOAI_reverse,,,20.41412627,2.973152094,20.41412627
FE3DHBZS3R,,,14.88107547,2.969519401,14.88107547
FRULYSDG_reverse,,,12.34300607,2.958839345,12.34300607
NADDP,104.254875,104.254875,1492,2.955001511,1492
GLYOX,518.8641667,518.8641667,53,2.950834268,53
G2PP,,,2.9,2.947453162,2.9
UGLT_reverse,295.0923077,295.0923077,12.06015905,2.946944409,12.06015905
PGLYCP,42.979375,42.979375,94,2.941901634,94
PGSA160,,,18.89572293,2.932724146,18.89572293
LPLIPAL2E161,,,12.94966319,2.928865516,12.94966319
CLPNS181pp_reverse,,,7.795319015,2.92376413,7.795319014
PLIPA2E120pp,,,25.55601319,2.914049288,25.55601319
PYNP2r_reverse,73.24888889,73.24888889,15.37048381,2.907470778,15.37048381
GLYAT,0.179366667,0.179366667,0.02,2.905633011,0.02
13PPDH2_reverse,,,34.97662487,2.903179107,34.97662486
